9364,10682,7514,6773,6550,7147,7172
314434,232181,204933,135631,91046,75142,71139
3,0,2,0,0,0,0
2077,3603,2529,2302,2315,2673,2690
15101,37545,16800,12398,10345,8488,5359
18355,19939,21565,19524,21745,21240,17912
2,2,0,0,2,0,0
29473,33960,25804,22273,24047,25743,26770
64985,29399,29313,22405,22035,10787,10188
1124,901,844,791,912,930,1066
10823,11643,12198,11803,12211,14363,12655
1393,1327,1532,1398,1258,1867,2571
123394,211649,250959,133278,143095,146734,133209
1795757,1969226,1966472,1522613,1646122,1679287,1710708
4,0,0,0,0,0,1
36905,33774,40322,38292,40410,38270,34957
10268,8889,11144,19237,9878,10681,11544
4,0,0,0,2,0,0
17516,19179,25730,22561,18315,20914,26768
711482,1270671,645046,735771,912389,744290,567203
48598,79079,124138,63671,66678,74787,67440
1867102,2032007,1752464,1781387,1841435,1812554,1839203
30222,21481,20055,11742,14874,18414,19232
344978,271597,218461,175574,113306,65212,14646
57966,58692,73190,66897,63615,69582,89279
11975,16475,52861,26466,16979,21865,34133
0,0,0,0,2,0,0
95251,79972,71705,77451,72083,78601,80710
194384,194672,195798,204400,218041,253219,257542
